# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack gre | entries 2141
asunder	sunder	a-	V	V
asymmetric	symmetric	a-	ADJ	ADJ
asymmetric	asymmetry	-ic	N	ADJ
athletics	athlete	-ics	N	N
athletics	athletic	-s	ADJ	N
atonal	tonal	a-	ADJ	ADJ
atrocity	atrocious	-ity	ADJ	N
attainment	attain	-ment	V	N
attune	tune	ad-	N	V
attune	tune	at-	N	V
auditorium	auditory	-ium	ADJ	N
auditorium	audit	-orium	N	N
augmentation	augment	-ation	N	N
augury	augur	-y	N	N
auspicious	auspice	-ious	N	ADJ
austerity	austere	-ity	ADJ	N
authenticity	authentic	-ity	ADJ	N
authoritarian	authority	-arian	N	ADJ
authorization	authorize	-ation	V	N
autobiography	biography	auto-	N	N
automation	automatic	-ion	ADJ	N
automation	automate	-ion	ADJ	N
autonomous	autonomy	-ous	N	ADJ
avaricious	avarice	-ious	N	ADJ
aversion	averse	-ion	ADJ	N
avow	vow	a-	N	V
avowal	avow	-al	V	N
awry	wry	a-	ADJ	ADV
awry	wry	a-	ADJ	ADJ
backwater	water	back-	N	N
badger	badge	-er	N	N
baleful	bale	-ful	N	ADJ
balky	balk	-y	N	ADJ
balmy	balm	-y	N	ADJ
bandage	band	-age	N	N
bather	bathe	-er	V	N
bathetic	bathos	-etic	N	ADJ
bawdy	bawd	-y	ADJ	ADJ
bearing	bear	-ing	N	V
bearing	bear	-ing	N	N
bedeck	deck	be-	V	V
bedizen	dizen	be-	V	V
bedraggled	bedraggle	-ed	V	ADJ
befuddle	fuddle	be-	V	V
befuddle	fundle	be-	V	V
befuddlement	befuddle	-ment	V	N
beget	get	be-	V	V
begrudge	grudge	be-	N	V
beguile	guile	be-	N	V
behold	hold	be-	N	V
beholden	behold	-en	V	ADJ
beholder	behold	-er	V	N
belabor	labor	be-	N	V
belated	belate	-ed	V	ADJ
beleaguer	lair	be-	N	V
beleaguer	leaguer	be-	N	V
belie	lie	be-	N	V
belittle	little	be-	ADJ	V
belligerence	belligerent	-ence	ADJ	N
belongings	belonging	-s	N	N
bemused	bemuse	-ed	V	V
bent	bend	-t	V	V
bequeath	quethe	be-	V	V
berate	rate	be-	N	V
bereave	reave	be-	V	V
beset	set	be-	ADJ	V
besiege	siege	be-	N	V
besmirch	smirch	be-	V	V
bespeak	speak	be-	V	V
bestow	stow	be-	U	V
bestow	stow	be-	V	V
betoken	token	be-	V	V
betray	tray	be-	N	V
betroth	troth	be-	N	V
bewilder	intensifier	be-	N	V
bewilder	wilder	be-	V	V
bewildering	bewilder	-ing	V	V
bewildering	bewilder	-ing	V	N
bibliophile	-phile	biblio-	N	N
biennial	biennium	-al	N	ADJ
bilingual	lingual	bi-	ADJ	ADJ
bilious	bile	-ious	N	ADJ
billowy	billow	-y	N	ADJ
blandishment	blandish	-ment	V	N
blasphemy	blaspheme	-y	N	N
blighted	blight	-ed	N	V
blinds	blind	-s	N	N
blissful	bliss	-ful	N	ADJ
