# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack gk | entries 346
housework	house	-work	N	N
humorous	humor	-ous	N	ADJ
incorrect	correct	in-	ADJ	ADJ
inland	land	in-	N	ADJ
insure	sure	in-	ADJ	V
interpreter	interpret	-er	N	N
invention	invent	-ion	V	N
inventor	invent	-or	V	N
irrigation	irrigate	-ion	V	N
juicy	juice	-y	N	ADJ
kilogram	gram	kilo-	N	N
kindness	kind	-ness	N	N
labourer	labour	-er	V	N
latest	late	-est	ADJ	ADJ
lazy	lays	-y	N	ADJ
lazy	laze	-y	V	ADJ
learned	learn	-ed	V	U
learned	learn	-ed	V	ADJ
lemonade	lemon	-ade	N	N
librarian	library	-an	N	N
librarian	library	-ian	N	N
lightning	lighten	-ing	V	N
loudly	loud	-ly	ADJ	ADV
luggage	lug	-age	N	N
mainland	main	-land	N	N
mankind	man	-kind	N	N
memorize	memory	-ize	N	V
merciful	mercy	-ful	N	ADJ
messy	mess	-y	N	ADJ
microcomputer	computer	micro-	V	N
microwave	wave	micro-	N	N
midday	day	mid-	N	N
millionaire	million	-aire	N	N
minibus	bus	mini-	N	N
miniskirt	skirt	mini-	N	N
mistaken	mistake	-n	N	V
mistaken	mistake	-en	N	V
misunderstand	understand	mis-	V	V
motherland	mother	-land	N	N
mountainous	mountain	-ous	N	ADJ
mouthful	mouth	-ful	N	N
mouthful	mouth	-ful	N	ADJ
muddy	mud	-y	ADJ	ADJ
multiply	multiple	-ly	ADJ	ADV
nationality	national	-ity	ADJ	N
nationwide	nation	-wide	N	ADJ
necktie	neck	-ie	N	N
noisily	noisy	-ly	ADJ	ADV
noisy	noise	-y	N	ADJ
northwards	north	-wards	ADJ	ADV
novelist	novel	-ist	ADJ	N
nursing	nurse	-ing	N	ADJ
offshore	shore	off-	N	ADJ
oneself	one	-self	N	U
opener	open	-er	ADJ	N
optional	option	-al	N	ADJ
outdoors	outdoor	-s	N	N
outing	out	-ing	ADJ	N
outspoken	spoken	out-	ADJ	ADJ
outward	out	-ward	ADV	ADJ
outward	ward	out-	N	V
overcoat	coat	over-	N	N
overhead	head	over-	ADJ	ADJ
overweight	weight	over-	N	ADJ
pancake	cake	pan-	N	N
paperwork	paper	-work	V	N
physicist	physics	-ist	N	N
pianist	piano	-ist	ADJ	N
playmate	play	-mate	V	N
poisonous	poison	-ous	N	ADJ
porter	port	-er	N	N
postage	age	post-	N	N
postage	post	-age	N	N
postbox	box	post-	N	N
postcard	card	post-	N	N
postman	post	-man	N	N
preview	view	pre-	V	N
printing	print	-ing	N	N
punctuation	punctuate	-ion	V	N
puzzled	puzzle	-ed	N	ADJ
radioactive	active	radio-	N	ADJ
rainy	rain	-y	N	ADJ
receptionist	reception	-ist	N	N
recorder	record	-er	N	N
recreation	creation	re-	N	U
recycle	cycle	re-	N	V
redirect	direct	re-	V	V
referee	refer	-ee	V	N
refresh	fresh	re-	ADJ	V
relay	lay	re-	V	V
retell	tell	re-	V	V
reuse	use	re-	V	N
reviewer	review	-er	N	N
revision	vision	re-	N	V
revision	revise	-ion	V	N
rewind	wind	re-	N	V
rewrite	write	re-	V	N
riddle	rede	-le	N	N
ripen	ripe	-en	N	V
roller	roll	-er	N	N
rooster	roost	-er	N	N
rubber	rub	-er	V	N
sadness	sad	-ness	N	N
sailing	sail	-ing	N	ADJ
sailing	sail	-ing	N	N
sailing	sail	-ing	N	V
sailor	sail	-or	V	N
salesman	sale	-man	N	N
saleswoman	sale	-woman	N	N
salty	salt	-y	N	ADJ
saucer	sauce	-er	N	N
saying	say	-ing	N	V
scenery	scene	-ry	N	N
sceptical	sceptic	-al	N	ADJ
scores	score	-s	N	N
seaman	sea	-man	N	N
seaside	sea	-side	N	N
selfish	self	-ish	N	ADJ
semicircle	circle	semi-	N	N
semicircle	circle	semi-	N	V
settler	settle	-er	N	N
shabby	shab	-y	N	ADJ
sharpen	sharp	-en	N	V
sharpener	sharpen	-er	V	N
shaver	shave	-er	V	N
shorts	short	-s	N	N
sickness	sick	-ness	N	N
sightseeing	sightsee	-ing	N	N
simplify	simple	-ify	ADJ	V
sincerely	sincere	-ly	ADJ	ADV
sixteenth	sixteen	-th	N	ADJ
skillful	skill	-ful	N	ADJ
skillfully	skillful	-ly	ADJ	ADV
slavery	slave	-ery	ADJ	N
slavery	slaver	-y	V	ADJ
slavery	slave	-ry	ADJ	N
sleepy	sleep	-y	N	ADJ
smelly	smell	-y	V	ADJ
smelly	smell	-ly	V	ADJ
smoker	smoke	-er	N	N
smoking	smoke	-ing	N	V
smoking	smoke	-ing	N	N
sneaker	sneak	-er	N	N
snowman	snow	-man	N	N
snowy	snow	-y	N	ADJ
spaceship	space	-ship	ADJ	N
spelling	spell	-ing	N	V
spoken	spoke	-n	N	ADJ
spoonful	spoon	-ful	N	N
stainless	stain	-less	N	ADJ
starvation	starve	-ation	V	N
starvation	starve	-tion	V	N
stewardess	steward	-ess	N	N
stocking	stock	-ing	N	N
stocking	stock	-ing	N	V
subjective	subject	-ive	N	ADJ
subtraction	subtract	-ion	V	N
sunburnt	sunburn	-t	N	ADJ
sunny	sun	-y	N	ADJ
superman	man	super-	N	N
sweater	sweat	-er	N	N
tanker	tank	-er	N	N
tasteless	taste	-less	N	ADJ
tasty	taste	-y	N	ADJ
teamwork	team	-work	N	N
temptation	tempt	-ation	V	N
thankful	thank	-ful	V	ADJ
theirs	their	-s	ADV	U
thirsty	thirst	-y	N	ADJ
thriller	thrill	-er	N	N
tidy	tide	-y	N	ADJ
tractor	tract	-or	N	N
translator	translate	-or	V	N
triangle	angle	tri-	N	N
troublesome	trouble	-some	ADJ	ADJ
twelfth	twelve	-th	N	ADJ
typewriter	typewrite	-er	V	N
typist	type	-ist	N	N
unbearable	bearable	un-	ADJ	ADJ
unbelievable	believable	un-	ADJ	ADJ
unconditional	conditional	un-	ADJ	ADJ
unconscious	conscious	un-	ADJ	ADJ
underground	ground	under-	N	ADV
underline	line	under-	N	N
underwear	wear	under-	N	N
undivided	divided	un-	V	ADJ
undo	do	un-	N	V
unfit	fit	un-	ADJ	ADJ
unfold	fold	un-	V	V
unhealthy	healthy	un-	ADJ	ADJ
unimportant	important	un-	ADJ	ADJ
unmarried	married	un-	ADJ	ADJ
unmarried	unmarry	-ed	V	ADJ
unpleasant	pleasant	un-	ADJ	ADJ
unrest	rest	un-	N	N
unsafe	safe	un-	ADJ	ADJ
unsuccessful	successful	un-	ADJ	ADJ
untrue	true	un-	ADJ	ADJ
unwilling	willing	un-	ADJ	ADJ
upward	up	-ward	ADJ	ADV
upward	up	-ward	ADJ	N
useless	use	-less	V	ADJ
vacant	vacate	-ant	V	ADJ
villager	village	-er	N	N
violin	viola	-in	N	N
violinist	violin	-ist	N	N
waiter	wait	-er	N	N
waitress	waiter	-ess	N	N
walkman	walk	-man	N	N
wayside	way	-side	N	ADJ
weatherman	weather	-man	N	N
website	web	-ite	N	N
westerner	western	-er	N	N
westwards	west	-wards	N	ADV
willingly	willing	-ly	ADJ	ADV
windy	wind	-y	N	ADJ
woollen	wool	-en	N	ADJ
workmate	work	-mate	N	N
worthless	worth	-less	N	ADJ
worthy	worth	-y	N	ADJ
wounded	wound	-ed	V	ADJ
wrestle	wrest	-le	V	N
yummy	yum	-y	ADJ	ADJ
zipper	zip	-er	N	N
