# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack cet6 | entries 991
abbreviation	abbreviate	-ion	V	N
abide	bide	a-	V	V
abnormal	normal	ab-	ADJ	ADJ
abundance	abundant	-ce	ADJ	N
accessary	access	-ary	N	N
accessory	access	-ory	N	ADJ
accidental	accident	-al	N	ADJ
accordance	accord	-ance	N	N
accustomed	accustom	-ed	V	ADJ
acquaintance	acquaint	-ance	V	N
acquisitive	acquisition	-ive	N	ADJ
adjustable	adjust	-able	V	ADJ
admiration	admire	-ation	V	N
advantageous	advantage	-ous	N	ADJ
advisable	advise	-able	V	ADJ
aerospace	space	aero-	N	N
affective	affect	-ive	V	ADJ
affluence	affluent	-ence	ADJ	N
aggression	aggress	-ion	N	N
agitation	agitate	-tion	ADJ	N
agitation	agitate	-ion	ADJ	N
agreeable	agree	-able	V	ADJ
alignment	align	-ment	V	N
allied	ally	-ed	N	ADJ
allied	allies	-ed	N	ADJ
aluminium	alumina	-ium	N	N
amaze	maze	a-	N	V
ambiguity	ambiguous	-ity	ADJ	N
amplify	ample	-ify	ADJ	V
amplitude	ample	-itude	ADJ	N
amusement	amuse	-ment	V	N
analogous	analogy	-ous	N	ADJ
analytic	analysis	-ic	N	ADJ
analytical	analytic	-al	ADJ	ADJ
antisocial	social	anti-	ADJ	ADJ
appealing	appeal	-ing	N	ADJ
appliance	apply	-ance	V	N
appraisal	appraise	-al	V	N
appreciable	appreciate	-able	V	ADJ
arabian	arabia	-n	N	ADJ
arabian	arabia	-an	N	ADJ
arouse	rouse	a-	N	V
ascribe	scribe	a-	N	V
ashore	shore	a-	N	ADV
ashore	shore	a-	N	N
aspiration	aspire	-ation	V	N
aspiration	aspirate	-ion	N	N
assassinate	assassin	-ate	N	V
assertive	assert	-ive	V	ADJ
assimilation	assimilate	-ion	ADJ	N
astonishment	astonish	-ment	V	N
atmospheric	atmosphere	-ic	N	ADJ
attachment	attach	-ment	V	N
attendant	attend	-ant	V	ADJ
attentive	attention	-ive	N	ADJ
automation	automatic	-ion	ADJ	N
automation	automate	-ion	ADJ	N
aviation	aviate	-ion	V	N
awake	wake	a-	N	V
awake	wake	a-	N	ADJ
axial	axis	-al	N	ADJ
axial	axe	-ial	N	ADJ
backbone	bone	back-	N	N
bandage	band	-age	N	N
bearing	bear	-ing	N	V
bearing	bear	-ing	N	N
beetle	bite	-le	V	ADJ
beggar	beg	-ar	N	N
bestow	stow	be-	U	V
bestow	stow	be-	V	V
betray	tray	be-	N	V
beware	ware	be-	ADJ	V
bewilder	intensifier	be-	N	V
bewilder	wilder	be-	V	V
biased	bias	-ed	N	ADJ
biotech	tech	bio-	N	N
bitterness	bitter	-ness	N	N
blunder	blend	-er	N	N
