# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack cet4 | entries 415
hopeless	hope	-less	N	ADJ
hopeless	home	-less	N	ADJ
hostess	host	-ess	N	N
humble	hum	-le	N	V
humorous	humor	-ous	N	ADJ
ignorant	ignore	-ant	V	ADJ
imaginary	imagine	-ary	V	ADJ
immigrate	migrate	im-	V	V
imprison	prison	im-	N	V
incorrect	correct	in-	ADJ	ADJ
indefinite	definite	in-	ADJ	ADJ
indifferent	different	in-	ADJ	ADJ
indispensable	dispensable	in-	ADJ	ADJ
indoor	door	in-	N	ADJ
indoors	indoor	-s	ADJ	N
industrialize	industrial	-ize	ADJ	V
inefficient	efficient	in-	ADJ	ADJ
inexpensive	expensive	in-	ADJ	ADJ
infamous	famous	in-	ADJ	ADJ
infinite	finite	in-	ADJ	ADJ
injection	inject	-ion	V	N
insignificant	significant	in-	ADJ	ADJ
insufficient	sufficient	in-	ADJ	ADJ
insure	sure	in-	ADJ	V
intentional	intention	-al	N	ADJ
interference	interfere	-ence	V	N
interpreter	interpret	-er	N	N
interruption	interrupt	-ion	V	N
invention	invent	-ion	V	N
inventor	invent	-or	V	N
inward	in	-ward	V	ADJ
irregular	regular	ir-	ADJ	ADJ
joyful	joy	-ful	N	ADJ
kilogram	gram	kilo-	N	N
kilometer	meter	kilo-	N	N
kindness	kind	-ness	N	N
lazy	lays	-y	N	ADJ
lazy	laze	-y	V	ADJ
learned	learn	-ed	V	U
learned	learn	-ed	V	ADJ
lessen	less	-en	N	V
lever	lief	-er	ADJ	N
leverage	lever	-age	N	N
librarian	library	-an	N	N
librarian	library	-ian	N	N
lighten	light	-en	ADJ	V
lightning	lighten	-ing	V	N
likelihood	likely	-hood	ADJ	N
likewise	like	-wise	ADJ	ADV
linen	line	-en	N	N
liner	line	-er	N	N
listener	listen	-er	N	N
loosen	loose	-en	N	V
luggage	lug	-age	N	N
mainland	main	-land	N	N
mankind	man	-kind	N	N
manly	man	-ly	V	ADJ
marvelous	marvel	-ous	N	ADJ
marxist	marx	-ist	N	ADJ
materialism	material	-ism	N	N
mathematical	mathematics	-al	N	ADJ
measurable	measure	-able	N	ADJ
mechanically	mechanical	-ly	ADJ	ADV
mechanics	mechanic	-s	N	N
messenger	message	-er	N	N
metric	metre	-ic	V	ADJ
microcomputer	computer	micro-	V	N
midday	day	mid-	N	N
millimetre	metre	milli-	V	N
miserable	miser	-able	N	ADJ
mislead	lead	mis-	V	V
mister	mist	-er	N	N
mistress	mister	-ess	N	N
misunderstand	understand	mis-	V	V
moisture	moist	-ure	ADJ	N
mouthful	mouth	-ful	N	N
mouthful	mouth	-ful	N	ADJ
muddy	mud	-y	ADJ	ADJ
multiply	multiple	-ly	ADJ	ADV
murderer	murder	-er	ADJ	N
nationality	national	-ity	ADJ	N
naughty	naught	-y	N	ADJ
navigation	navigate	-ion	ADJ	N
needless	need	-less	N	ADJ
noisy	noise	-y	N	ADJ
noticeable	notice	-able	N	ADJ
occurrence	occur	-ence	V	N
oneself	one	-self	N	U
optical	optic	-al	ADJ	ADJ
optics	optic	-ics	ADJ	N
optics	optic	-s	ADJ	N
optional	option	-al	N	ADJ
orderly	order	-ly	V	ADJ
oriental	orient	-al	N	ADJ
outdoors	outdoor	-s	N	N
outlet	let	out-	V	N
